id_poligono;id_distrito;nombre_distrito;provincia;id_seccion;nombre_seccion;localidad;score_promedio;q_geo;indice_geo;q_estimada;q_personaspriorizadas;indice_hogares;hogares_estimados;observado;shape_texto
67;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";41.439654545454566;1713;0.8211;2086.2258;999;2.01004;1037.9037110120723;0;"POLYGON((-37.961821 -57.584624,-37.9739 -57.581062,-37.969163 -57.590461,-37.961821 -57.584624))"
68;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";60.06390069551814;5290;0.8211;6442.5770;4907;2.01004;3205.201769559491;0;"POLYGON((-38.016242 -57.569175,-38.024492 -57.552824,-38.029596 -57.55703,-38.021077 -57.568488,-38.018947 -57.571363,-38.016242 -57.569175))"
69;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";61.00061000470445;6558;0.8211;7986.8469;6222;2.01004;3973.480757045728;0;"POLYGON((-38.024593 -57.552738,-38.031557 -57.538748,-38.039365 -57.544327,-38.029731 -57.556901,-38.024593 -57.552738))"
70;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";40.99647781934799;2014;0.8211;2452.8072;893;2.01004;1220.279085801878;0;"POLYGON((-38.039027 -57.545142,-38.039771 -57.544456,-38.039297 -57.543683,-38.040785 -57.540808,-38.042643 -57.540078,-38.044232 -57.541151,-38.047713 -57.540507,-38.048997 -57.53849,-38.051363 -57.534971,-38.056871 -57.536216,-38.057344 -57.540936,-38.053796 -57.546558,-38.046868 -57.554927,-38.039027 -57.545142))"
71;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";62.123133348426364;4558;0.8211;5551.0900;4312;2.01004;2761.684246814855;0;"POLYGON((-38.03132 -57.538834,-38.026689 -57.547846,-38.017798 -57.541966,-38.020976 -57.535486,-38.024661 -57.528491,-38.025945 -57.530208,-38.026723 -57.532225,-38.029968 -57.53334,-38.031793 -57.533727,-38.030002 -57.537847,-38.03132 -57.538834))"
72;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";61.85456094929901;4779;0.8211;5820.2411;4480;2.01004;2895.587761195645;0;"POLYGON((-38.010765 -57.536345,-38.013064 -57.531581,-38.014586 -57.531452,-38.01587 -57.530379,-38.016614 -57.528319,-38.016479 -57.525702,-38.016986 -57.5245,-38.020232 -57.525444,-38.02084 -57.527289,-38.023714 -57.527375,-38.024424 -57.52862,-38.017629 -57.541881,-38.010765 -57.536345))"
76;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";62.20812792877217;4379;0.8211;5333.0898;4128;2.01004;2653.22845914957;0;"POLYGON((-38.013402 -57.550979,-38.017764 -57.542138,-38.026486 -57.54806,-38.021652 -57.557673,-38.013402 -57.550979))"
77;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";36.424561403508754;295;0.8211;359.2741;82;2.01004;178.73998525880617;1;"POLYGON((-38.119392 -57.610803,-38.118244 -57.612305,-38.118413 -57.612863,-38.11659 -57.615137,-38.115847 -57.614365,-38.114936 -57.61548,-38.106933 -57.60591,-38.111053 -57.600846,-38.119392 -57.610803))"
78;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";46.64721482889746;6477;0.8211;7888.1988;4993;2.01004;3924.4029983809646;0;"POLYGON((-37.985333 -57.586727,-37.991557 -57.57441,-37.997611 -57.57956,-37.991557 -57.591791,-37.985333 -57.586727))"
79;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";45.50890023001729;7108;0.8211;8656.6801;5068;2.01004;4306.724797358832;0;"POLYGON((-37.99176 -57.591791,-37.997847 -57.57956,-38.007045 -57.587199,-37.999301 -57.597456,-37.99176 -57.591791))"
82;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";49.71059843307231;6150;0.8211;7489.9525;5585;2.01004;3726.2742689586516;0;"POLYGON((-37.997881 -57.579432,-38.002108 -57.571964,-38.012185 -57.580075,-38.007181 -57.586985,-37.997881 -57.579432))"
83;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";34.172999999999995;10;0.8211;12.1788;3;2.01004;6.058982551002623;1;"POLYGON((-38.004875 -57.680969,-38.007242 -57.67067,-38.016574 -57.681742,-38.011773 -57.689381,-38.004875 -57.680969))"
84;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";25.9585873015873;642;0.8211;781.8780;47;2.01004;388.986679783622;0;"POLYGON((-38.035911 -57.64226,-38.041116 -57.635479,-38.046456 -57.642517,-38.044564 -57.644577,-38.046862 -57.647238,-38.043955 -57.652044,-38.035911 -57.64226))"
85;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";36.71779467680608;269;0.8211;327.6093;56;2.01004;162.98663062580135;1;"POLYGON((-38.102881 -57.611275,-38.106764 -57.605996,-38.114801 -57.615781,-38.110782 -57.621317,-38.102881 -57.611275))"
86;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";31.747463414634126;1940;0.8211;2362.6842;147;2.01004;1175.442614923364;0;"POLYGON((-37.956814 -57.628956,-37.961957 -57.618527,-37.967032 -57.622132,-37.960976 -57.633848,-37.956814 -57.628956))"
87;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";34.52702544471963;4644;0.8211;5655.8275;608;2.01004;2813.791496754871;0;"POLYGON((-37.962025 -57.61827,-37.969333 -57.603979,-37.971362 -57.605138,-37.972141 -57.606854,-37.9739 -57.608485,-37.967133 -57.622004,-37.962025 -57.61827))"
88;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";35.19871630295255;3246;0.8211;3953.2335;583;2.01004;1966.74573610361;0;"POLYGON((-37.969366 -57.603807,-37.974103 -57.594666,-37.97894 -57.598829,-37.974001 -57.608399,-37.972242 -57.606683,-37.971532 -57.604966,-37.969366 -57.603807))"
89;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";34.05146496815284;2283;0.8211;2780.4165;232;2.01004;1383.2657164276793;0;"POLYGON((-37.956408 -57.629042,-37.952144 -57.624106,-37.957152 -57.614408,-37.961686 -57.618399,-37.956408 -57.629042))"
90;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";34.43394003714513;3943;0.8211;4802.0948;534;2.01004;2389.0568199189897;0;"POLYGON((-37.957287 -57.614236,-37.963175 -57.602606,-37.967878 -57.606425,-37.961754 -57.618399,-37.957287 -57.614236))"
91;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";36.32858650306749;4235;0.8211;5157.7153;947;2.01004;2565.9791104130427;0;"POLYGON((-37.963243 -57.602391,-37.969163 -57.590847,-37.973934 -57.594366,-37.967945 -57.606382,-37.963243 -57.602391))"
92;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";30.591339712918668;1953;0.8211;2378.5166;130;2.01004;1183.3192922396177;0;"POLYGON((-37.966998 -57.622604,-37.975084 -57.629256,-37.970246 -57.635522,-37.968047 -57.633634,-37.966592 -57.636809,-37.964697 -57.635264,-37.965476 -57.632904,-37.964494 -57.632432,-37.963446 -57.634363,-37.961652 -57.632775,-37.966998 -57.622604))"
93;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";32.46151982965128;3917;0.8211;4770.4299;281;2.01004;2373.303465285985;0;"POLYGON((-37.9671 -57.622476,-37.973934 -57.608914,-37.974576 -57.609816,-37.97549 -57.610846,-37.976302 -57.61179,-37.976234 -57.613292,-37.977012 -57.614665,-37.97708 -57.61591,-37.977824 -57.617884,-37.978331 -57.619772,-37.979481 -57.621274,-37.978534 -57.622604,-37.977756 -57.625909,-37.975185 -57.629085,-37.9671 -57.622476))"
